,image_filename,flower_type,dominant_colors,Linalool,Geraniol,Citronellol
0,daisy/4258408909_b7cc92741c_m.jpg,daisy,white,0.05,0.39,0.5
1,daisy/15813862117_dedcd1c56f_m.jpg,daisy,white,0.06,0.35,0.4
2,daisy/14147016029_8d3cf2414e.jpg,daisy,white,0.08,0.11,0.32
3,daisy/9175280426_40ecc395b8_m.jpg,daisy,white,0.06,0.23,0.24
4,daisy/5608389827_a42a46f760.jpg,daisy,white,0.07,0.14,0.31
5,daisy/3475870145_685a19116d.jpg,daisy,white,0.07,0.43,0.49
6,daisy/3474942718_c418dae6f1.jpg,daisy,white,0.06,0.32,0.21
7,daisy/5765646947_82e95a9cc9_n.jpg,daisy,white,0.07,0.18,0.38
8,daisy/7416083788_fcb4c4f27e_n.jpg,daisy,white,0.09,0.33,0.21
9,daisy/8964198962_6d8593b533.jpg,daisy,white,0.06,0.35,0.31
10,daisy/2812442552_3eed5fb9f2_m.jpg,daisy,white,0.09,0.34,0.21
11,daisy/3625257860_33efeef614_m.jpg,daisy,white,0.05,0.3,0.14
12,daisy/10172567486_2748826a8b.jpg,daisy,white,0.08,0.27,0.49
13,daisy/3356112863_75da8bca2c_m.jpg,daisy,white,0.06,0.13,0.28
14,daisy/3504430338_77d6a7fab4_n.jpg,daisy,white,0.06,0.45,0.13
15,daisy/10993710036_2033222c91.jpg,daisy,white,0.06,0.32,0.33
16,daisy/4141147800_813f660b47.jpg,daisy,white,0.07,0.27,0.48
17,daisy/2556503265_63ae6b9e0e_m.jpg,daisy,white,0.08,0.24,0.34
18,daisy/8719756744_34a5a83976_n.jpg,daisy,white,0.09,0.28,0.12
19,daisy/4897587985_f9293ea1ed.jpg,daisy,white,0.07,0.35,0.35
20,daisy/10559679065_50d2b16f6d.jpg,daisy,white,0.07,0.24,0.29
21,daisy/3468498624_d082f99e98.jpg,daisy,white,0.1,0.18,0.29
22,daisy/5769217520_c90efc3c93_m.jpg,daisy,white,0.07,0.37,0.48
23,daisy/7066602021_2647457985_m.jpg,daisy,white,0.09,0.29,0.39
