Unnamed: 0,image_filename,flower_type,dominant_colors,Linalool,Geraniol,Citronellol
2083,dandelion/4512569988_2b3f802cc6.jpg,dandelion,yellow,0.1,0.15,0.11
2264,tulip/17994129033_bbd0acba62_n.jpg,tulip,pink,0.06,0.4,0.26
1330,rose/3292654244_4a220ab96f_m.jpg,rose,red,0.06,0.34,0.3
524,sunflower/4933229479_c1708bd503.jpg,sunflower,yellow,0.07,0.45,0.32
45,daisy/5577555349_2e8490259b.jpg,daisy,white,0.07,0.18,0.39
2695,tulip/4580206494_9386c81ed8_n.jpg,tulip,pink,0.07,0.18,0.35
1135,rose/6969041818_a505baa68e_m.jpg,rose,red,0.06,0.23,0.13
2260,tulip/15275190769_0ed7bbf490.jpg,tulip,pink,0.09,0.26,0.41
499,daisy/6299498346_b9774b6500.jpg,daisy,white,0.07,0.25,0.46
326,daisy/15784493690_b1858cdb2b_n.jpg,daisy,white,0.06,0.26,0.17
2122,dandelion/5654859907_c2be3b0f1e_n.jpg,dandelion,yellow,0.09,0.19,0.34
1838,dandelion/8716513637_2ba0c4e6cd_n.jpg,dandelion,yellow,0.05,0.31,0.28
2170,tulip/16986144192_55e0e6c152.jpg,tulip,pink,0.1,0.44,0.47
622,sunflower/6104713425_8a3277e34a.jpg,sunflower,yellow,0.09,0.34,0.11
1221,rose/7419966772_d6c1c22a81.jpg,rose,red,0.08,0.45,0.24
919,sunflower/11881770944_22b4f2f8f6_n.jpg,sunflower,yellow,0.06,0.16,0.33
2136,dandelion/3580437733_9ef51f2981_n.jpg,dandelion,yellow,0.06,0.48,0.13
1416,rose/4754734410_94d98463a5.jpg,rose,red,0.08,0.45,0.38
1536,dandelion/3688128868_031e7b53e1_n.jpg,dandelion,yellow,0.07,0.12,0.3
763,sunflower/12471290635_1f9e3aae16_n.jpg,sunflower,yellow,0.07,0.48,0.4
1360,rose/9337528427_3d09b7012b.jpg,rose,red,0.06,0.42,0.31
797,sunflower/9535500195_543d0b729b.jpg,sunflower,yellow,0.08,0.44,0.11
2727,tulip/5674134129_2db5136cba.jpg,tulip,pink,0.05,0.31,0.24
949,sunflower/9555827829_74e6f60f1d_m.jpg,sunflower,yellow,0.09,0.26,0.44
2331,tulip/13561966423_e5c641fe11.jpg,tulip,pink,0.08,0.15,0.34
1891,dandelion/8744249948_36cb1969f8_m.jpg,dandelion,yellow,0.09,0.26,0.29
1018,rose/8671682526_7058143c99.jpg,rose,red,0.07,0.15,0.38
2415,tulip/15275504998_ca9eb82998.jpg,tulip,pink,0.09,0.41,0.28
920,sunflower/5951665793_8ae4807cbd_n.jpg,sunflower,yellow,0.09,0.48,0.33
1280,rose/19440805164_920b28da61_n.jpg,rose,red,0.06,0.5,0.25
609,sunflower/4927658421_7eed83bc95_m.jpg,sunflower,yellow,0.07,0.12,0.44
2465,tulip/8713388322_e5ae26263b_n.jpg,tulip,pink,0.08,0.12,0.36
2505,tulip/7082476907_99beef0dde.jpg,tulip,pink,0.08,0.48,0.37
1892,dandelion/7141013005_d2f168c373.jpg,dandelion,yellow,0.07,0.45,0.29
1267,rose/15738649506_2b4c2fd933_m.jpg,rose,red,0.08,0.17,0.11
